ablation,condition,macro_auroc,f1,raw_cosine_drift,adapter_cosine_drift,adapter_l2_drift,auroc_drop,model
full,clean,0.8610189971660192,0.4240981742561691,0.0,0.0,0.0,0.0,I-JEPA-H/95
full,noise_sigma=0.05,0.8705195202752518,0.1243671447828637,0.8899335861206055,0.0079565923660993,11.234813690185549,-0.0095005231092326,I-JEPA-H/95
full,noise_sigma=0.10,0.7966581998875645,0.0558667567871151,0.975327491760254,0.0085902912542223,11.877798080444336,0.0643607972784546,I-JEPA-H/95
full,brightness=-0.20,0.868394824982457,0.4253109619476226,0.0356220044195652,0.0013831211254,4.398374080657959,-0.0073758278164378,I-JEPA-H/95
full,brightness=+0.20,0.8568668170724344,0.3914919053042914,0.1691349744796753,0.0031133447773754,6.679056167602539,0.0041521800935847,I-JEPA-H/95
full,contrast=0.50,0.8740808226110313,0.3980815660736525,0.0704452693462371,0.0023424383252859,6.050529956817627,-0.0130618254450121,I-JEPA-H/95
full,contrast=1.50,0.8752446962552994,0.4257107073525,0.074835255742073,0.0017501045949757,4.968677997589111,-0.0142256990892802,I-JEPA-H/95
full,clean,0.86208483821641,0.4433933175282328,0.0,0.0,0.0,0.0,I-JEPA-H/201
full,noise_sigma=0.05,0.8616970778493254,0.0939015323542728,0.8739974498748779,0.0099451569840312,9.991092681884766,0.0003877603670846,I-JEPA-H/201
full,noise_sigma=0.10,0.8035238990009351,0.0555391995878811,0.9631897211074828,0.0110872816294431,10.75062370300293,0.0585609392154748,I-JEPA-H/201
full,brightness=-0.20,0.8720108872472933,0.4412574386480725,0.0403559580445289,0.0018972860416397,3.9062533378601074,-0.0099260490308832,I-JEPA-H/201
full,brightness=+0.20,0.8647179329777032,0.4298199436899655,0.1236830651760101,0.0035107971634715,5.405421733856201,-0.0026330947612931,I-JEPA-H/201
full,contrast=0.50,0.895924986320868,0.419704425946147,0.1162514016032219,0.0036293659359216,5.576136112213135,-0.033840148104458,I-JEPA-H/201
full,contrast=1.50,0.8830314565396071,0.4499791185155598,0.0916416496038436,0.0027467238251119,4.838335514068604,-0.0209466183231971,I-JEPA-H/201
no_repr,clean,0.8812783828509779,0.4325616479102246,0.0,0.0,0.0,0.0,I-JEPA-H/201
no_repr,noise_sigma=0.05,0.8501762578326132,0.0778397382605841,0.8739974498748779,0.5996333956718445,31.30872344970703,0.0311021250183647,I-JEPA-H/201
no_repr,noise_sigma=0.10,0.8035646881991629,0.0553636839351125,0.9631897211074828,0.6620344519615173,32.83180618286133,0.0777136946518149,I-JEPA-H/201
no_repr,brightness=-0.20,0.8847345469107653,0.4274187611325671,0.0403559580445289,0.058846216648817,10.106998443603516,-0.0034561640597873,I-JEPA-H/201
no_repr,brightness=+0.20,0.8610072333278455,0.4013510069122816,0.1236830651760101,0.1621918827295303,16.477338790893555,0.0202711495231324,I-JEPA-H/201
no_repr,contrast=0.50,0.8966380926523374,0.3862122028602352,0.1162514016032219,0.1904344111680984,18.1522274017334,-0.0153597098013594,I-JEPA-H/201
no_repr,contrast=1.50,0.889169928193095,0.4343857893084761,0.0916416496038436,0.1085005924105644,13.491846084594728,-0.0078915453421171,I-JEPA-H/201
no_pred,clean,0.8571906387772837,0.4360019516580539,0.0,0.0,0.0,0.0,I-JEPA-H/201
no_pred,noise_sigma=0.05,0.858385738501547,0.0962109110559121,0.8739974498748779,0.0067302142269909,11.371289253234863,-0.0011950997242632,I-JEPA-H/201
no_pred,noise_sigma=0.10,0.8026823359791567,0.0611982687277115,0.9631897211074828,0.0075644748285412,12.155961990356444,0.054508302798127,I-JEPA-H/201
no_pred,brightness=-0.20,0.8669419163978584,0.4248731702417755,0.0403559580445289,0.0011395710753276,4.103682994842529,-0.0097512776205747,I-JEPA-H/201
no_pred,brightness=+0.20,0.8471528255679766,0.417498312897605,0.1236830651760101,0.0022559040226042,5.886367321014404,0.0100378132093071,I-JEPA-H/201
no_pred,contrast=0.50,0.8878991974431115,0.3774877615312342,0.1162514016032219,0.0026397844776511,6.578141212463379,-0.0307085586658277,I-JEPA-H/201
no_pred,contrast=1.50,0.867201751731296,0.4316619555546798,0.0916416496038436,0.0016485123196616,5.185880184173584,-0.0100111129540122,I-JEPA-H/201
noise_only,clean,0.8954008986611318,0.4369160466696327,0.0,0.0,0.0,0.0,I-JEPA-H/201
noise_only,noise_sigma=0.05,0.8651443388959538,0.181192992973207,0.8739974498748779,0.0136264115571975,7.484930515289307,0.030256559765178,I-JEPA-H/201
noise_only,noise_sigma=0.10,0.8092613190947641,0.0800966378281814,0.9631897211074828,0.0155697492882609,8.197952270507812,0.0861395795663677,I-JEPA-H/201
noise_only,brightness=-0.20,0.855251021356713,0.4179889216519211,0.0403559580445289,0.0068014785647392,5.046075344085693,0.0401498773044187,I-JEPA-H/201
noise_only,brightness=+0.20,0.8476284895062883,0.3494721462272404,0.1236830651760101,0.0117782736197113,6.6617350578308105,0.0477724091548434,I-JEPA-H/201
noise_only,contrast=0.50,0.808567386356525,0.3123070409603734,0.1162514016032219,0.0159466341137886,8.22846508026123,0.0868335123046067,I-JEPA-H/201
noise_only,contrast=1.50,0.8796104633962073,0.4082996915970735,0.0916416496038436,0.0099910609424114,6.08576250076294,0.0157904352649245,I-JEPA-H/201
full_aug,clean,0.856349114875909,0.447160384716394,0.0,0.0,0.0,0.0,I-JEPA-H/201
full_aug,noise_sigma=0.05,0.8613765669773074,0.1413497051360761,0.8739974498748779,0.0110666593536734,10.369248390197754,-0.0050274521013983,I-JEPA-H/201
full_aug,noise_sigma=0.10,0.8078423784557476,0.0691827590400277,0.9631897211074828,0.0122883757576346,11.149161338806152,0.0485067364201614,I-JEPA-H/201
full_aug,brightness=-0.20,0.8671125284595523,0.4433528072380198,0.0403559580445289,0.0020442539826035,3.924282550811768,-0.0107634135836433,I-JEPA-H/201
full_aug,brightness=+0.20,0.8613442918196141,0.4163935346926562,0.1236830651760101,0.0039945137687027,5.625051975250244,-0.0049951769437051,I-JEPA-H/201
full_aug,contrast=0.50,0.8994210678919999,0.4385535119679585,0.1162514016032219,0.0044659259729087,6.05405855178833,-0.0430719530160909,I-JEPA-H/201
full_aug,contrast=1.50,0.8713652635402453,0.4486225471064999,0.0916416496038436,0.0031214137561619,4.985970973968506,-0.0150161486643363,I-JEPA-H/201
full,clean,0.9326978955680244,0.4881349720569801,0.0,0.0,0.0,0.0,MAE-H/97
full,noise_sigma=0.05,0.9203891913393364,0.3665680817326384,0.1419081687927246,0.0081714373081922,8.74608325958252,0.012308704228688,MAE-H/97
full,noise_sigma=0.10,0.8860889842600786,0.2218451913355947,0.3185886740684509,0.0142814433202147,11.735700607299805,0.0466089113079457,MAE-H/97
full,brightness=-0.20,0.928494412714667,0.4836682040436199,0.0115768825635313,0.0027914987877011,4.828762531280518,0.0042034828533573,MAE-H/97
full,brightness=+0.20,0.9216515457022604,0.4623780525654751,0.0186706651002168,0.0037494793068617,5.413729667663574,0.011046349865764,MAE-H/97
full,contrast=0.50,0.9319029014954336,0.4738275550461326,0.0354787409305572,0.0022805090993642,4.505061626434326,0.0007949940725907,MAE-H/97
full,contrast=1.50,0.9335597219425238,0.4679340063981545,0.0133309438824653,0.0016843286575749,3.805974006652832,-0.0008618263744993,MAE-H/97
full,clean,0.9222716616608788,0.4749571728875343,0.0,0.0,0.0,0.0,MAE-H/300
full,noise_sigma=0.05,0.9110490029979796,0.2841699920795649,0.168609470129013,0.0121556716039776,10.047940254211426,0.0112226586628991,MAE-H/300
full,noise_sigma=0.10,0.8721116332424766,0.2161325052576416,0.3191346526145935,0.0187912732362747,12.627344131469728,0.0501600284184021,MAE-H/300
full,brightness=-0.20,0.9155806943912056,0.4370565142384042,0.0275826156139373,0.0040221051312983,5.491304874420166,0.0066909672696733,MAE-H/300
full,brightness=+0.20,0.9071300295879005,0.4396192314223773,0.0220378004014492,0.0052419477142393,6.066252708435059,0.0151416320729783,MAE-H/300
full,contrast=0.50,0.9209103432380638,0.4108797885849044,0.0437438897788524,0.0060557844117283,7.133022308349609,0.001361318422815,MAE-H/300
full,contrast=1.50,0.9244356938376608,0.4578198444804062,0.0194965489208698,0.0033336235210299,5.184298038482666,-0.0021640321767818,MAE-H/300
